id,pondera_dem,fecha,region,sexo,edad,p1,p1otros,p2,p2_1,p2_1otro,p2_2,p3,p4,p5,p6horas,p6minutos,horas_radio,minutos_radio,p7_1,p7_2,p7_3,p7_4,p7_5,p8a,p8b,p8c,p8d,p8e,p8f,p8g,p8otros,p9,p10,p10_1,p10_1otr,p10_2,p11,p12horas,p12minutos,horas_musica,minutos_musica,p13_1,p13_2,p13_3,p13_4,p13_5,p13_6,p13_7,p13_8,p13_9,p14_1,p14_2,p14_3,p14_4,p14_5,p14_6,p14_7,p14_8,p14_9,p14_10,p14_11,p14_12,p14_13,p14_14,p15,p16,p17_1,p17_2,p18a,p18b,p18c,p18d,p18e,p18f,p18g,p18otros,p19,p20,p21,p22,p23,p23_1,p23_1otr,p23_2,p24,p25,p25_bis,p25_1,p25_1_bis,p26,p26_bis,p27,p27_1,p28,p29,p29_1,p29_1otr,p29_2,p30,p30_bis,p31horas,p31minutos,horas_diario,minutos_diario,p32,p33,p33_bis,p33_1,p33_1_bis,p34,p34_1,p35_1,p35_2,p35_3,p36,p37,p37_1,p38,p39,p39_bis,p39_1,p39_1_bis,p40,p40_bis,p41,p42,p42_1,p42_1otr,p42_2,p43,p43_bis,p43_1,p43_1_bis,p44,p44otros,p45,p45_bis,p45_1,p45_1_bis,p46,p47,p47_1a,p47_1b,p47_1c,p47_1d,p47_2,p48_1,p48_2,p48_3,p48_4,p48_5,p48_6,p48_7,p48_8,p48_9,p48_10,p48_11,p48_12,p48_13,p48_14,p48_15,p48_16,p49,p49_1,p49_2,p50horas,p50minutos,horas_TV,minutos_TV,p51a,p51b,p52,p53,p54_1,p54_2,p54_3,p54_4,p55_1,p55_2,p55_3,p56,p56_1,p56_1_bis,p57,p57_1,p57_1otr,p57_2,p58_1,p58_2,p58_3,p58_4,p58_5,p58_6,p58_7,p59_1,p59_2,p59_3,p59_4,p59_5,p59_6,p60,p61,p62,p63,p63_1,p63_1otr,p63_2,p64,p65,p65_bis,p65_1,p65_1_bis,p66,p66otros,p67_1,p67_2,p67_3,p67_4,p67_5,p67_6,p67_7,p67_8,p67_9,p67_10,p67_11,p68,p69,p70,p70_bis,p70_1,p70_1_bis,p71,p71_bis,p72,p72_1,p72_1otr,p72_2,p73,p74,p74_1,p74_2,p74_3,p74_4,p74_4_bis,p75_1,p75_2,p75_3,p75_4,p76horas,p76minutos,horas_internet,minutos_internet,p77_1,p77_2,p77_3,p77_4,p77_5,p77_6,p77_7,p77_8,p77_9,p77_10,p78_1,p78_2,p78_3,p78_4,p78_5,p78_1_1,p78_1_2,p78_1_3,p78_1_4,p78_1_5,p78_2b,p78_3b_1,p78_3b,p79_1,p79_2,p79_3,p79_4,p79_5,p79_6,p79_7,p80horas,p80minutos,horas_redes,minutos_redes,p81,p81_1a,p81_1b,p81_1c,p81_1d,p81_1e,p81_1f,p81_1g,p81_1h,p81_1i,p81_1j,p81_1k,p81_1l,p82,p83,p84,p85,p85_1,p85_2,p85_3,p85_3_bis,p86,p87,p88,p89horas,p89minutos,horas_videojuegos,minutos_videojuegos,p90_1,p90_2,p90_3,p90_4,p91,p91_bis,p92_1,p92_2,p92_3,p92_4,p92_5,p92_6,p92_7,p92_8,p92_9,p93_1,p93_2,p93_3,p93_4,p94_1,p94_2,p94_3,p94_4,p94_5,p94_6,p95,p96_1,p96_2,p96_3,p96_4,p96_5,p97,p97_bis,p98,p99,p99_bis,p100_1,p100_2,p100_3,p100_4,p100_5,p100_6,p101,p102,p102_bis,p103_1,p103_1_1,p103_2,p103_1_2,p103_3,p103_1_3,p103_4,p103_1_4,p103_5,p103_1_5,p103_6,p103_1_6,p103_7,p103_1_7,p103_8,p103_1_8,p103_9,p103_1_9,p103_10,p103_110,p103_11,p103_111,p103_12,p103_112,p103_13,p103_113,p103_14,p103_114,p103_15,p103_115,p103_16,p103_116,p103_17,p103_117,p103_18,p103_118,p103_19,p103_119,p103_20,p103_120,p104,p104_1,p104_2,p105,p106,p107,p108,p109,p110,p110b,p111,p111b,p112,p113_1,p113_2,p113_3,p113_4,p113_5,p114,p115_1,p115_2,p115_3,p115_4,p115_5,p116,p116b,p117,NSEpuntaje,NSEcat1,minutos_radio_1,minutos_radio_total,horas_radio_total,minutos_musica_1,minutos_musica_total,horas_musica_total,minutos_diario_1,minutos_diario_total,horas_diario_total,minutos_tv_1,minutos_tv_total,horas_tv_total,minutos_internet_1,minutos_internet_total,horas_internet_total,minutos_redes_1,minutos_redes_total,horas_redes_total,minutos_videojuegos_1,minutos_videojuegos_total,horas_videojuegos_total
1,8608,23/5/2017,CENTRO,Varón,19,"LA FORMA DE PENSAR, IDEOLOGIA, VALORES", ,SI,, ,NA,SI,ALGUNAS VECES AL MES,FM,1,0,1,0,ALGUNAS VECES AL MES,NUNCA,NUNCA,ALGUNAS VECES AL MES,NUNCA,MUSICALES,ACTUALIDAD / MAGAZINE,NA,NA,NA,NA,NA, ,1,SI,, ,NA,ALGUNOS DIAS POR SEMANA,1,30,1,30,NUNCA,ALGUNAS VECES AL MES,ALGUNAS VECES AL MES,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,NUNCA,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,HABITUALMENTE,NUNCA,NUNCA,DE VEZ EN CUANDO,DE VEZ EN CUANDO,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,DE VEZ EN CUANDO,NUNCA,NUNCA,6 canciones,SI,ALGUNOS DIAS POR SEMANA,ALGUNA VEZ AL AÑO O MENOS,YOUTUBE,NA,NA,NA,NA,NA,NA, ,0,0,0,0,NO,PORQUE LAS ENTRADAS ESTAN CARAS, ,SI,NA,,0,,0,,0,NO,0,NO,SI,, ,NA,3,3,1,0,1,0,ALGUNAS VECES AL MES,0,0,0,0,TODOS O CASI TODOS LOS DIAS,CELULAR,MENOS DE UNA VEZ POR MES,NUNCA,TODOS O CASI TODOS LOS DIAS,AMBAS POR IGUAL,NO,NO,NA,,0,,0,,0,NA,SI,, ,NA,1,1,0,0,"SE LO HABIA RECOMENDADO UN PROFESOR, REFERENTE POLITICO, RELIGIOSO O ESPIRITUAL", ,1,1,600,600,ALGUNAS VECES AL MES,"NO LEYO LIBROS EN PANTALLA, SOLO EN PAPEL",,,,,,CASI NUNCA,NUNCA,NUNCA,NUNCA,HABITUALMENTE,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,HABITUALMENTE,NUNCA,NUNCA,NUNCA,SI,,NA,1,0,1,0,TELEVISION POR CABLE,NA,NO MIRA,UNA HORA O MENOS AL DIA,NUNCA,NUNCA,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,2,1,1,SI,, ,NA,NUNCA,ALGUNAS VECES AL MES,ALGUNAS VECES AL MES,NUNCA,NUNCA,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DIAS,ALGUNA VEZ AL AÑO,ALGUNA VEZ AL AÑO,TODOS O CASI TODOS LOS DIAS,NUNCA,ALGUNA VEZ AL AÑO,NUNCA,150,0,0,SI,, ,NA,ALGUNA VEZ AL AÑO O MENOS,1,1,0,0,"NO TENIA DECIDIDO IR A VERLA, LA ELIGIO EN EL MOMENTO", ,DE VEZ EN CUANDO,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,HABITUALMENTE,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NO,NA,,0,,0,,0,SI,, ,NA,NA,SI,NA,,NS/NC,NS/NC,NS/NC,ALGUNAS VECES AL MES,TODOS O CASI TODOS LOS DÍAS,NUNCA,ALGUNOS DIAS POR SEMANA,8,NO USA,8,NO USA,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,ALGUNAS VECES AL MES,ALGUNAS VECES AL MES,ALGUNAS VECES AL MES,NUNCA,NUNCA,NUNCA,NUNCA,ALGUNAS VECES AL MES,SI,SI,SI,NO,NO,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NA,NA,NO,NA, ,NUNCA,ALGUNA VEZ AL AÑO O MENOS,ALGUNA VEZ AL AÑO O MENOS,NUNCA,NUNCA,ALGUNAS VECES AL MES,ALGUNAS VECES AL MES,4,0,4,0,"COMENTA, COMPARTE, PARTICIPA Y/U OPINA FRENTE A CONTENIDOS",NA,,,,,,,,,,,,1,1,SI,1,SI,SI,400,400,0,SI,ALGUNOS DIAS POR SEMANA,1,0,1,0,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,0,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SI,NO,NO,NO,NO,NO,,0,SI,1,1,UNA VEZ AL AÑO,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,FUE GRATUITO,0,0,HACE MAS DE 5 AÑOS,,NO FUE NUNCA,,HACE MAS DE 5 AÑOS,,VARIAS VECES EN EL ULTIMO AÑO,300,NO FUE NUNCA,,ENTRE 1 Y 5 AÑOS,,NO FUE NUNCA,,NO FUE NUNCA,,NO FUE NUNCA,,1 VEZ EN EL ULTIMO AÑO,50,NO FUE NUNCA,,NO FUE NUNCA,,NO FUE NUNCA,,NO FUE NUNCA,,NO FUE NUNCA,,NO FUE NUNCA,,NO FUE NUNCA,,NO FUE NUNCA,,NO FUE NUNCA,,NO FUE NUNCA,,6,3,0,3,SECUNDARIA INCOMPLETA,OTRO MIEMBRO DEL HOGAR,SECUNDARIA COMPLETA,TRABAJA,EMPLEADO,TRABAJADOR/OBRERO CALIFICADO. EMPLEADO ADMINISTRATIVO MEDIO, ,,SI,SI,SI,NO,SI,SI,PROPIA,NO,NO,NO,NO,NO,BARRIO DE VIVIENDA SOCIAL,BARRIO DE VIVIENDA SOCIAL,CASA,66,C3,60,60,1,60,90,1.5,60,60,1,60,60,1,480,480,8,240,240,4,60,60,1
2,2869,10/5/2017,CENTRO,Varón,24,"EL ARTE, LO CULTO", ,SI,, ,NA,NO,ALGUNOS DIAS POR SEMANA,FM,1,0,1,0,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,INFORMATIVOS / NOTICIEROS,MUSICALES,CULTURALES,NA,NA,NA,NA, ,0,SI,, ,NA,TODOS O CASI TODOS LOS DIAS,3,0,3,0,NUNCA,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DIAS,ALGUNA VEZ CADA 3 MESES,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,HABITUALMENTE,CASI NUNCA,HABITUALMENTE,NUNCA,NUNCA,DE VEZ EN CUANDO,DE VEZ EN CUANDO,CASI NUNCA,CASI NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,NUNCA,NUNCA,9 canciones,SI,TODOS O CASI TODOS LOS DIAS,ALGUNOS DIAS POR SEMANA,GOOGLE PLAY,YOUTUBE,NA,NA,NA,NA,NA, ,150,0,0,0,SI,, ,NA,TODAS O CASI TODAS LAS SEMANAS,13,13,13,13,500,500,SI,2,SI,SI,, ,NA,6,6,0,30,0,30,ALGUNA VEZ AL AÑO,0,0,0,0,TODOS O CASI TODOS LOS DIAS,CELULAR,NUNCA,NUNCA,TODOS O CASI TODOS LOS DIAS,AMBAS POR IGUAL,SI,NA,ALGUNOS DIAS POR SEMANA,0,0,0,0,0,0,TODOS O CASI TODOS LOS DIAS,SI,, ,NA,3,3,2,2,PORQUE ESTABA EN SU CASA, ,0,0,0,0,ALGUNA VEZ CADA 3 MESES,ALGUNA VEZ CADA 3 MESES,COMPUTADORA,,,,NO,CASI NUNCA,CASI NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,NUNCA,NUNCA,CASI NUNCA,NUNCA,NUNCA,CASI NUNCA,NUNCA,SI,,NA,0,45,0,45,"TELEVISION DIGITAL ABIERTA, CON DECODIFICADOR/ SINTONIZADOR",NA,ALGUNAS VECES POR SEMANA,NO MIRA,NUNCA,NUNCA,NUNCA,ALGUNOS DIAS POR SEMANA,DE VEZ EN CUANDO,NUNCA,CASI NUNCA,1,NINGUNO,NINGUNO,SI,, ,NA,NUNCA,TODOS O CASI TODOS LOS DIAS,ALGUNOS DIAS POR SEMANA,NUNCA,ALGUNA VEZ AL AÑO,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,ALGUNOS DIAS POR SEMANA,ALGUNA VEZ CADA 3 MESES,1350,0,0,SI,, ,NA,ALGUNA VEZ CADA 3 MESES,3,3,2,2,"NO TENIA DECIDIDO IR A VERLA, LA ELIGIO EN EL MOMENTO", ,CASI NUNCA,NUNCA,CASI NUNCA,DE VEZ EN CUANDO,NUNCA,DE VEZ EN CUANDO,HABITUALMENTE,CASI NUNCA,HABITUALMENTE,NUNCA,CASI NUNCA,SI,ALGUNA VEZ CADA 3 MESES,2,2,2,2,500,500,SI,, ,NA,NA,NO,NO,,NA,,0,ALGUNAS VECES AL MES,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,2,NO USA,2,NO USA,NUNCA,TODOS O CASI TODOS LOS DÍAS,NUNCA,ALGUNA VEZ AL AÑO O MENOS,ALGUNA VEZ AL AÑO O MENOS,NUNCA,NUNCA,TODOS O CASI TODOS LOS DÍAS,ALGUNAS VECES AL MES,ALGUNA VEZ AL AÑO O MENOS,SI,NO,SI,NO,NO,TODOS O CASI TODOS LOS DÍAS,NA,NUNCA,NA,NA,NO,NA, ,ALGUNA VEZ CADA 3 MESES,ALGUNAS VECES AL MES,ALGUNA VEZ CADA 3 MESES,NUNCA,NUNCA,ALGUNA VEZ CADA 3 MESES,ALGUNAS VECES AL MES,1,0,1,0,"OBSERVA LOS CONTENIDOS, SIN HACER COMENTARIOS",NA,,,,,,,,,,,,1,NINGUNA,NO,1,SI,NO,145,145,0,NO,NA,,,0,0,NA,NA,NA,NA,,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SI,NO,NO,NO,NO,NO,,0,SI,2,2,NUNCA,UNA VEZ AL AÑO,UNA VEZ AL AÑO,NUNCA,NUNCA,NUNCA,FUE GRATUITO,0,0,VARIAS VECES EN EL ULTIMO AÑO,1000,ENTRE 1 Y 5 AÑOS,,1 VEZ EN EL ULTIMO AÑO,400,VARIAS VECES EN EL ULTIMO AÑO,300,NO FUE NUNCA,,ENTRE 1 Y 5 AÑOS,,1 VEZ EN EL ULTIMO AÑO,0,VARIAS VECES EN EL ULTIMO AÑO,0,1 VEZ EN EL ULTIMO AÑO,100,1 VEZ EN EL ULTIMO AÑO,600,NO FUE NUNCA,,NO FUE NUNCA,,1 VEZ EN EL ULTIMO AÑO,0,NO FUE NUNCA,,NO FUE NUNCA,,NO FUE NUNCA,,NO FUE NUNCA,,1 VEZ EN EL ULTIMO AÑO,0,1 VEZ EN EL ULTIMO AÑO,0,ENTRE 1 Y 5 AÑOS,,1,,,2,SECUNDARIA COMPLETA,LA PERSONA QUE FUE ENTREVISTADA,,TRABAJA,ATENCION AL PUBLICO,TRABAJADOR/OBRERO CALIFICADO. EMPLEADO ADMINISTRATIVO MEDIO, ,,NO,NO,NO,NO,NO,SI,PRESTADA,NO,NO,NO,NO,NO,BARRIO DE VIVIENDA SOCIAL,BARRIO DE VIVIENDA SOCIAL,DEPARTAMENTO,46,D1,60,60,1,180,180,3,0,30,0.5,0,45,0.75,120,120,2,60,60,1,0,0,0
3,8765,22/5/2017,CENTRO,Varón,30,"LA FORMA DE PENSAR, IDEOLOGIA, VALORES", ,SI,, ,NA,NO,ALGUNOS DIAS POR SEMANA,FM,1,30,1,30,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,INFORMATIVOS / NOTICIEROS,ACTUALIDAD / MAGAZINE,NA,NA,NA,NA,NA, ,2,SI,, ,NA,TODOS O CASI TODOS LOS DIAS,1,0,1,0,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,TODOS O CASI TODOS LOS DIAS,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,HABITUALMENTE,CASI NUNCA,DE VEZ EN CUANDO,HABITUALMENTE,HABITUALMENTE,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,CASI NUNCA,NUNCA,6 canciones,SI,TODOS O CASI TODOS LOS DIAS,TODOS O CASI TODOS LOS DIAS,SPOTIFY,NA,NA,NA,NA,NA,NA, ,360,0,0,0,NO,PORQUE NO LE INTERESA, ,NO,NA,,0,,0,,0,NO,0,NO,SI,, ,NA,2,2,1,0,1,0,ALGUNAS VECES AL MES,1,1,30,30,TODOS O CASI TODOS LOS DIAS,CELULAR,ALGUNOS DIAS POR SEMANA,ALGUNAS VECES AL MES,TODOS O CASI TODOS LOS DIAS,AMBAS POR IGUAL,NO,NO,NA,,0,,0,,0,NA,SI,, ,NA,1,1,0,0,"SE LO HABIA RECOMENDADO UN AMIGO, FAMILIAR O CONOCIDO", ,1,1,350,350,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,CELULAR,,,,NO,NUNCA,DE VEZ EN CUANDO,NUNCA,DE VEZ EN CUANDO,HABITUALMENTE,NUNCA,NUNCA,HABITUALMENTE,NUNCA,NUNCA,NUNCA,HABITUALMENTE,HABITUALMENTE,NUNCA,NUNCA,NUNCA,SI,,NA,0,30,0,30,TELEVISION SATELITAL,NA,ALGUNAS VECES POR SEMANA,ALGUNAS VECES POR SEMANA,NUNCA,NUNCA,NUNCA,TODOS O CASI TODOS LOS DIAS,CASI NUNCA,DE VEZ EN CUANDO,NUNCA,2,1,1,SI,, ,NA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,ALGUNOS DIAS POR SEMANA,ALGUNA VEZ AL AÑO,NUNCA,NUNCA,NUNCA,0,0,0,NO,PORQUE IR AL CINE ES MUY CARO, ,NO,NA,,0,,0,NA, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,,0,,0,,0,SI,, ,NA,NA,NO,SI,900,NA,,0,NUNCA,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,7,NO USA,7,NO USA,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,NUNCA,ALGUNA VEZ AL AÑO O MENOS,NUNCA,ALGUNA VEZ AL AÑO O MENOS,ALGUNA VEZ AL AÑO O MENOS,NUNCA,NUNCA,SI,SI,SI,NO,NO,TODOS O CASI TODOS LOS DÍAS,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DÍAS,NA,NA,NO,NA, ,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,2,0,2,0,"PUBLICA, EDITA, CREA, CONSTRUYE Y/O RECICLA CONTENIDOS",NOTICIAS Y OPINION,,,,,,,,,,,,1,1,NO,1,SI,SI,500,500,0,NO,NA,,,0,0,NA,NA,NA,NA,,0,NO,NO,NO,NO,SI,NO,NO,NO,NO,SI,NA,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,,0,SI,2,2,VARIAS VECES AL AÑO,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,TUVO QUE PAGAR ENTRADA,70,70,NO FUE NUNCA,,VARIAS VECES EN EL ULTIMO AÑO,1000,ENTRE 1 Y 5 AÑOS,,NO FUE NUNCA,,NO FUE NUNCA,,HACE MAS DE 5 AÑOS,,NO FUE NUNCA,,HACE MAS DE 5 AÑOS,,NO FUE NUNCA,,1 VEZ EN EL ULTIMO AÑO,0,NO FUE NUNCA,,NO FUE NUNCA,,ENTRE 1 Y 5 AÑOS,,NO FUE NUNCA,,NO FUE NUNCA,,NO FUE NUNCA,,NO FUE NUNCA,,NO FUE NUNCA,,NO FUE NUNCA,,1 VEZ EN EL ULTIMO AÑO,2000,3,0,0,99,UNIVERSITARIO INCOMPLETO,LA PERSONA QUE FUE ENTREVISTADA,,TRABAJA,PROFESIONAL,EJECUTIVO MEDIO DE EMPRESA/ PROFESIONAL INDEPENDIENTE/ FUNCI, ,,SI,NO,SI,NO,NO,SI,PRESTADA,NO,NO,NO,NO,NO,BARRIO DE VIVIENDA SOCIAL,BARRIO DE VIVIENDA SOCIAL,CASA,69,C3,60,90,1.5,60,60,1,60,60,1,0,30,0.5,420,420,7,120,120,2,0,0,0
4,12838,9/5/2017,CENTRO,Varón,53,MUSICA, ,SI,, ,NA,SI,TODOS O CASI TODOS LOS DIAS,AMBAS POR IGUAL,3,0,3,0,TODOS O CASI TODOS LOS DIAS,ALGUNOS DIAS POR SEMANA,ALGUNAS VECES AL MES,TODOS O CASI TODOS LOS DIAS,NUNCA,INFORMATIVOS / NOTICIEROS,ACTUALIDAD / MAGAZINE,NA,NA,NA,NA,NA, ,2,SI,, ,NA,ALGUNA VEZ CADA 3 MESES,1,0,1,0,NUNCA,ALGUNA VEZ AL AÑO O MENOS,ALGUNA VEZ CADA 3 MESES,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,HABITUALMENTE,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,NUNCA,NUNCA,DE VEZ EN CUANDO,NUNCA,9 canciones,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,,0,0,0,SI,, ,NA,ALGUNA VEZ AL AÑO O MENOS,1,1,1,1,200,200,NO,0,NO,SI,, ,NA,4,4,1,0,1,0,ALGUNAS VECES AL MES,1,1,30,30,TODOS O CASI TODOS LOS DIAS,CELULAR,ALGUNOS DIAS POR SEMANA,MENOS DE UNA VEZ POR MES,TODOS O CASI TODOS LOS DIAS,AMBAS POR IGUAL,NO,NO,NA,,0,,0,,0,NA,NO,PORQUE NO TIENE TIEMPO, ,NO,,0,,0,, ,,0,,0,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SI,,NA,1,0,1,0,TELEVISION POR CABLE,NA,VARIAS HORAS AL DIA,UNA HORA O MENOS AL DIA,NUNCA,NUNCA,NUNCA,TODOS O CASI TODOS LOS DIAS,CASI NUNCA,HABITUALMENTE,HABITUALMENTE,3,NS/NC,NS/NC,SI,, ,NA,NUNCA,ALGUNA VEZ AL AÑO,ALGUNA VEZ CADA 3 MESES,ALGUNA VEZ CADA 3 MESES,ALGUNA VEZ CADA 3 MESES,ALGUNOS DIAS POR SEMANA,ALGUNOS DIAS POR SEMANA,NUNCA,ALGUNA VEZ CADA 3 MESES,ALGUNOS DIAS POR SEMANA,NUNCA,NUNCA,NUNCA,500,0,0,SI,, ,NA,ALGUNA VEZ AL AÑO O MENOS,1,1,1,1,LEYO O VIO UNA AVANCE O COMENTARIO EN LOS MEDIOS, ,DE VEZ EN CUANDO,CASI NUNCA,NUNCA,HABITUALMENTE,NUNCA,DE VEZ EN CUANDO,DE VEZ EN CUANDO,DE VEZ EN CUANDO,DE VEZ EN CUANDO,NUNCA,NUNCA,NO,NA,,0,,0,,0,SI,, ,NA,NA,NO,SI,542,NA,,0,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,ALGUNOS DIAS POR SEMANA,TODOS O CASI TODOS LOS DÍAS,6,NO USA,6,NO USA,TODOS O CASI TODOS LOS DÍAS,TODOS O CASI TODOS LOS DÍAS,NUNCA,ALGUNAS VECES AL MES,NUNCA,NUNCA,NUNCA,ALGUNA VEZ AL AÑO O MENOS,NUNCA,ALGUNA VEZ AL AÑO O MENOS,SI,NO,SI,NO,NO,TODOS O CASI TODOS LOS DÍAS,NA,TODOS O CASI TODOS LOS DÍAS,NA,NA,NO,NA, ,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,ALGUNAS VECES AL MES,TODOS O CASI TODOS LOS DÍAS,5,0,5,0,"COMENTA, COMPARTE, PARTICIPA Y/U OPINA FRENTE A CONTENIDOS",NA,,,,,,,,,,,,2,1,SI,1,SI,SI,400,400,NS/NC,NO,NA,,,0,0,NA,NA,NA,NA,,0,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,NO,SI,NO,NO,NO,NO,NO,NO,SI,NO,NO,SI,NO,NO,700,700,SI,1,1,UNA VEZ AL AÑO,NUNCA,NUNCA,NUNCA,NUNCA,NUNCA,FUE GRATUITO,0,0,HACE MAS DE 5 AÑOS,,1 VEZ EN EL ULTIMO AÑO,300,NO FUE NUNCA,,1 VEZ EN EL ULTIMO AÑO,200,NO FUE NUNCA,,1 VEZ EN EL ULTIMO AÑO,200,NO FUE NUNCA,,NO FUE NUNCA,,NO FUE NUNCA,,1 VEZ EN EL ULTIMO AÑO,300,NO FUE NUNCA,,NO FUE NUNCA,,NO FUE NUNCA,,1 VEZ EN EL ULTIMO AÑO,NS/NC,NO FUE NUNCA,,NO FUE NUNCA,,NO FUE NUNCA,,NO FUE NUNCA,,NO FUE NUNCA,,NO FUE NUNCA,,5,0,0,3,TERCIARIO INCOMPLETO,LA PERSONA QUE FUE ENTREVISTADA,,TRABAJA,EMPLEADO,TRABAJADOR/OBRERO CALIFICADO. EMPLEADO ADMINISTRATIVO MEDIO, ,,SI,NO,SI,NO,SI,SI,PROPIA,NO,NO,NO,NO,NO,BARRIO DE VIVIENDA SOCIAL,BARRIO DE VIVIENDA SOCIAL,CASA,68,C3,180,180,3,60,60,1,60,60,1,60,60,1,360,360,6,300,300,5,0,0,0
